Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
120,18928,Curtis Samuel,WR,5,CAR,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0
121,14847,Ifeanyi Momah,WR,5,ARI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,15725,Brittan Golden,WR,5,ARI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,19023,Mack Hollins,WR,5,PHI,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,16003,Sammy Watkins,WR,5,LAR,SEA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,18985,Amara Darboh,WR,5,SEA,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,19017,Josh Reynolds,WR,5,LAR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,15150,Cordarrelle Patterson,WR,5,OAK,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,16731,Chris Matthews,WR,5,BAL,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,18241,Johnny Holton,WR,5,OAK,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,16480,Jeff Janis,WR,5,GB,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,18080,Trevor Davis,WR,5,GB,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,18269,Geronimo Allison,WR,5,GB,DAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0
133,19008,Ryan Switzer,WR,5,DAL,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,13856,Deonte Thompson,WR,5,CHI,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,14465,Jarius Wright,WR,5,MIN,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,14795,Josh Bellamy,WR,5,CHI,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,17219,Daniel Brown,WR,5,CHI,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,17914,Laquon Treadwell,WR,5,MIN,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,18602,Tanner McEvoy,WR,5,SEA,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
