Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
82,16441,Senorise Perry,RB,6,MIA,ATL,0,0,0,0,0,0,0,0,0,0,0
83,17089,Terron Ward,RB,6,ATL,MIA,0,0,0,0,0,0,0,0,0,0,0
84,18003,Kenyan Drake,RB,6,MIA,ATL,0,0,0,0,0,0,0,0,0,0,0
85,18636,Taniela Tupou,FB,6,ATL,MIA,0,0,0,0,0,0,0,0,0,0,0
86,15207,Benjamin Cunningham,RB,6,CHI,BAL,0,0,0,0,0,0,0,0,0,0,0
87,13741,Brandon Bolden,RB,6,NE,NYJ,0,0,0,0,0,0,0,0,0,0,0
88,14783,James Develin,RB,6,NE,NYJ,0,0,0,0,0,0,0,0,0,0,0
89,15224,Andre Ellington,RB,6,ARI,TB,0,0,0,0,1,0,0,0,0,0,0
90,18375,Peyton Barber,RB,6,TB,ARI,0,0,0,0,0,0,0,0,0,0,0
91,18617,Elijhaa Penny,RB,6,ARI,TB,0,0,0,0,0,0,0,0,0,0,0
92,14891,Tommy Bohanon,FB,6,JAX,LAR,0,0,0,0,2,0,0,0,0,0,0
93,17197,Corey Grant,RB,6,JAX,LAR,0,0,0,0,0,0,0,0,0,0,0
94,13418,Anthony Sherman,FB,6,KC,PIT,0,0,0,0,0,0,0,0,0,0,0
95,16534,Roosevelt Nix,RB,6,PIT,KC,0,0,0,0,0,0,0,0,0,0,0
96,16402,Andre Williams,RB,6,LAC,OAK,0,0,0,0,0,0,0,0,0,0,0
97,18115,Derek Watt,FB,6,LAC,OAK,0,0,0,0,0,0,0,0,0,0,0
98,18093,Andy Janovich,FB,6,DEN,NYG,0,0,0,0,1,0,0,0,0,0,0
99,15966,David Fluellen,RB,6,TEN,IND,0,0,0,0,0,0,0,0,0,0,0
100,16869,Jalston Fowler,RB,6,TEN,IND,0,0,0,0,0,0,0,0,0,0,0
101,15616,Fozzy Whittaker,RB,6,CAR,PHI,1,-3,-3,0,0,0,0,0,0,0,-0.30
102,5451,Jonathan Stewart,RB,6,CAR,PHI,8,-4,-1,0,2,0,0,0,0,0,-0.40
