Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
76,17197,Corey Grant,RB,2,JAX,TEN,1,13,13,0,0,0,0,0,0,0,1.30
77,16966,Aaron Ripkowski,FB,2,GB,ATL,0,0,0,0,1,1,2,0,0,0,1.20
78,18070,Wendell Smallwood,RB,2,PHI,KC,3,4,1,0,2,1,-3,0,0,0,1.10
79,12296,LeGarrette Blount,RB,2,PHI,KC,0,0,0,0,1,1,0,0,0,0,1
80,18152,Dwayne Washington,RB,2,DET,NYG,3,9,3,0,0,0,0,0,0,0,0.90
81,18983,James Conner,RB,2,PIT,MIN,1,9,9,0,0,0,0,0,0,0,0.90
82,17360,Rod Smith,RB,2,DAL,DEN,2,8,4,0,0,0,0,0,0,0,0.80
83,18067,Jordan Howard,RB,2,CHI,TB,9,7,1,0,1,0,0,0,0,0,0.70
84,15071,Latavius Murray,RB,2,MIN,PIT,3,6,2,0,0,0,0,0,0,0,0.60
85,17053,Malcolm Brown,RB,2,LAR,WAS,0,0,0,0,1,1,-4,0,0,0,0.60
86,17050,Thomas Rawls,RB,2,SEA,SF,5,4,1,0,0,0,0,0,0,0,0.40
87,17066,Terrell Watson,RB,2,PIT,MIN,1,1,1,0,0,0,0,0,0,0,0.10
88,19541,Shane Smith,FB,2,NYG,DET,0,0,0,0,0,0,0,0,0,0,0
89,14891,Tommy Bohanon,FB,2,JAX,TEN,0,0,0,0,0,0,0,0,0,0,0
90,19078,Matt Dayes,RB,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0
91,18114,Dan Vitale,FB,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0
92,16928,Michael Burton,FB,2,CHI,TB,0,0,0,0,0,0,0,0,0,0,0
93,13102,Jordan Todman,RB,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
94,13063,Taiwan Jones,RB,2,BUF,CAR,0,0,0,0,0,0,0,0,0,0,0
95,19548,Corey Clement,RB,2,PHI,KC,0,0,0,0,0,0,0,0,0,0,0
96,16031,Damien Williams,RB,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0
97,13741,Brandon Bolden,RB,2,NE,NO,0,0,0,0,0,0,0,0,0,0,0
98,17217,Raheem Mostert,RB,2,SF,SEA,0,0,0,0,0,0,0,0,0,0,0
99,16210,Jay Prosch,FB,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
100,14786,Patrick DiMarco,FB,2,BUF,CAR,0,0,0,0,1,0,0,0,0,0,0
101,13418,Anthony Sherman,FB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0
102,16307,Charcandrick West,RB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0
103,18339,Tre Madden,RB,2,SEA,SF,0,0,0,0,0,0,0,0,0,0,0
104,16441,Senorise Perry,RB,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0
105,19045,Aaron Jones,RB,2,GB,ATL,0,0,0,0,0,0,0,0,0,0,0
106,14269,Alfred Morris,RB,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0
107,18115,Derek Watt,FB,2,LAC,MIA,1,0,0,0,0,0,0,0,0,0,0
108,18093,Andy Janovich,FB,2,DEN,DAL,0,0,0,0,0,0,0,0,0,0,0
109,19085,De'Angelo Henderson,RB,2,DEN,DAL,0,0,0,0,0,0,0,0,0,0,0
110,14901,Kyle Juszczyk,FB,2,SF,SEA,0,0,0,0,0,0,0,0,0,0,0
111,15631,Derrick Coleman,FB,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0
112,17089,Terron Ward,RB,2,ATL,GB,0,0,0,0,0,0,0,0,0,0,0
113,17199,Akeem Hunt,RB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0
114,15616,Fozzy Whittaker,RB,2,CAR,BUF,0,0,0,0,0,0,0,0,0,0,0
115,16534,Roosevelt Nix,RB,2,PIT,MIN,0,0,0,0,0,0,0,0,0,0,0
116,1589,John Kuhn,FB,2,NO,NE,0,0,0,0,0,0,0,0,0,0,0
117,18617,Elijhaa Penny,RB,2,ARI,IND,0,0,0,0,0,0,0,0,0,0,0
118,19562,Austin Ekeler,RB,2,LAC,MIA,0,0,0,0,0,0,0,0,0,0,0
119,16378,Keith Smith,FB,2,DAL,DEN,0,0,0,0,0,0,0,0,0,0,0
120,18003,Kenyan Drake,RB,2,MIA,LAC,1,-3,-3,0,0,0,0,0,0,0,-0.30
