Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
28,11182,Eric Decker,WR,7,TEN,CLE,21,17,4300,11.1
29,13227,Randall Cobb,WR,7,GB,NO,23,26,5300,11.1
30,12109,Ted Ginn,WR,7,NO,GB,14,19,4100,10.8
31,14871,Robert Woods,WR,7,LAR,ARI,26,29,4000,10.5
32,16253,Allen Hurns,WR,7,JAX,IND,31,30,4100,10.5
33,16765,Amari Cooper,WR,7,OAK,KC,23,31,5500,10.5
34,16640,John Brown,WR,7,ARI,LAR,20,7,4900,10.4
35,13878,Mohamed Sanu,WR,7,ATL,NE,32,28,4800,10.4
36,18882,Cooper Kupp,WR,7,LAR,ARI,26,29,4600,10.2
37,16258,Marqise Lee,WR,7,JAX,IND,31,30,4300,10
38,16775,Devante Parker,WR,7,MIA,NYJ,19,15,6500,9.9
39,16781,Nelson Agholor,WR,7,PHI,WAS,12,4,4900,9.8
40,18187,Robby Anderson,WR,7,NYJ,MIA,8,14,4200,9.8
41,16146,Martavis Bryant,WR,7,PIT,CIN,3,5,4300,9.7
42,18036,Ricardo Louis,WR,7,CLE,TEN,25,23,4200,9.7
43,16866,Jamison Crowder,WR,7,WAS,PHI,17,27,4200,9.6
44,16129,Taylor Gabriel,WR,7,ATL,NE,32,28,4900,9.6
45,15974,Jordan Matthews,WR,7,BUF,TB,30,32,3700,9.5
46,16141,Willie Snead,WR,7,NO,GB,14,19,4000,9.2
47,17961,Sterling Shepard,WR,7,NYG,SEA,5,9,5200,9.2
48,17290,Adam Humphries,WR,7,TB,BUF,4,10,4200,9.2
49,14749,Jermaine Kearse,WR,7,NYJ,MIA,8,14,4700,9.1
50,16830,Tyler Lockett,WR,7,SEA,NYG,24,6,4100,9
51,16694,Paul Richardson,WR,7,SEA,NYG,24,6,4200,8.9
52,16232,Donte Moncrief,WR,7,IND,JAX,2,2,3300,8.8
53,8914,Jeremy Maclin,WR,7,BAL,MIN,6,21,4200,8.7
54,17048,Tyrell Williams,WR,7,LAC,DEN,7,8,4000,8.6
55,18883,Juju Smith-Schuster,WR,7,PIT,CIN,3,5,3800,8.4
56,14865,Marquise Goodwin,WR,7,SF,DAL,27,25,3900,8.2
57,8529,Mike Wallace,WR,7,BAL,MIN,6,21,4100,8.1
58,13957,Kendall Wright,WR,7,CHI,CAR,10,20,3700,8
59,15088,Terrance Williams,WR,7,DAL,SF,28,22,3900,8
60,16003,Sammy Watkins,WR,7,LAR,ARI,26,29,4400,8
61,15196,Kenny Stills,WR,7,MIA,NYJ,19,15,4400,7.9
62,14141,Cole Beasley,WR,7,DAL,SF,28,22,5000,7.8
63,12794,Jeremy Kerley,WR,7,NYJ,MIA,8,14,4100,7.7
64,16276,Bennie Fowler,WR,7,DEN,LAC,18,24,3300,7.7
65,11463,Brandon LaFell,WR,7,CIN,PIT,1,1,3300,7.7
